filename,authors,journal,doi,database,region,spatialScale,latitude,longitude,numStations,period,dataResolution,recordLength,dataSource,erosivityIndex,methodology,methodCategory,validationMethod,erosivityTrend,percentChange,absoluteChange,trendSignificance,trendDriver,scenario,projectionHorizon,projectedChange245,projectedChange585,gcmModel,cmipGeneration,baselinePeriod,downscalingMethod,uncertaintySource,uncertaintyType,uncertaintyMagnitude,biasCorrection,dataScarcityLevel,satelliteUsed,keyFinding,section,policyLink,qualityScore,readTier,_model_used,_key_used,pub_year,trend_clean,method_clean,resolution_clean,macro_region,scarcity_clean,satellite_clean,significance_clean,quality_num,lat,lon,section_clean,proj_high_emission,proj_medium_emission,proj_year_horizon,proj_baseline,proj_gcm,proj_scenario,proj_confidence,proj_where_found
1-s2.0-S0341816222007494-main.pdf,Xu et al.2023,Catena,10.1016/j.catena.2022.106763,WoS,Southwest China,Regional,25.0,105.0,1,1901-2020,Monthly,120,CRU_TS 4.05,EI30,Regression analysis and the Mann–Kendall test,Statistical,,Increasing,58.55,,p<0.05,Climate change,Historical,,,,,,1981-2010,,,,,,,,"Future investigations and control of soil erosion in the karst region of SW China under climate change should focus on the critical times when (e.g., January) and areas where (e.g., peak forest-plain rocky desertification control zone) rainfall erosivity changes significantly.",Sec3:Observed,,,Tier1-Full,llama-3.1-8b-instant,Key2,2023.0,Increasing,Statistical,Monthly,China,,,,,25.0,105.0,Sec3: Observed Trends,,,,,,,,
1-s2.0-S0341816223000346-main - Copy.pdf,Padulano et al.2023,Catena,10.1016/j.catena.2023.106943,WoS,Italy,National,42.5,12.5,171,1981-2010,Monthly,30,ERA5-Land,R-factor,"An empirical model is calibrated for Italy to bridge the annual to monthly scale gap by means of 10-year series of monthly rainfall observations at 171 Italian rain gauges, and then applied using the ERA5-Land gridded rainfall dataset to obtain maps of monthly and seasonal rainfall erosivity.",Statistical,Statistical and visual analysis of results,Increasing,+12.4%,,p<0.01,"RCP 2.6, 4.5 and 8.5","RCP 2.6, 4.5 and 8.5",2021-2050 and 2051-2080,,,EURO-CORDEX,CORDEX,1981-2010,CORDEX RCM,Model structural,Model structural,,Yes-QM,Low,ERA5-Land,"Positive percentage anomalies are expected in large portions of the country, especially under RCP 2.6 but with significant increases expected also under RCPs 4.5 and 8.5, especially in autumn and, secondarily, in summer.",Sec4:Modelling,,4.0,Tier2-Selective,llama-3.1-8b-instant,Key3,2023.0,Increasing,Statistical,Monthly,Europe,Low,,Significant (p<0.01),4.0,42.5,12.5,Sec4: Modelling,,,,,,,,
1-s2.0-S0341816223002059-main.pdf,Chen et al.2023,Catena,10.1016/j.catena.2023.107114,WoS,Tibetan Plateau,Regional,28.0,90.0,1711,1979-2018,Daily,40,CMFD,EI30,Empirical models were first established to estimate monthly rainfall erosivity using 1-minute in situ precipitation observations from 1711 meteorological stations on the TP.,Statistical,Independent assessment,Increasing,+,,p<0.01,,Historical,,,,,,1981-2010,,Data scarcity,Data scarcity,,No,High,No-ground only,Annual rainfall erosivity values have exhibited significant increasing trends over the last 40 years.,Sec3:Observed,,3.0,Tier3-DataOnly,llama-3.1-8b-instant,Key1,2023.0,Increasing,Statistical,Daily,China,High,Ground Only,Significant (p<0.01),3.0,28.0,90.0,Sec3: Observed Trends,,,,,,,,
1-s2.0-S1470160X25003814-main.pdf,Xie et al.2025,Ecological Indicators,https://doi.org/10.1016/j.ecolind.2025.113451,Scopus,Southwest China,Regional,28.0,102.0,4,,,,Gauge data,R-factor,"Four methods, namely, inverse distance weighting (IDW), ordinary kriging (OK), global regression kriging (GRK) and geographically weighted regression kriging (GWRK), were selected to conduct a comparative analysis under various scenarios of gauge number and distribution.",Statistical,,,,,p<0.01,,Historical,,,,,,,,,,,,,No-ground only,"This study provides insights into optimizing R-factor mapping under future climate scenarios, enabling precise soil erosion risk assessment and targeted prevention in mountainous regions.",Sec4:Modelling,,,Tier1-Full,llama-3.1-8b-instant,Key2,2025.0,,Statistical,,China,,Ground Only,,,28.0,102.0,Sec4: Modelling,,,,,,,,
1-s2.0-S1470160X25007009-main.pdf,Wang et al.2025,Ecological Indicators,https://doi.org/10.1016/j.ecolind.2025.113770,Scopus,Yangtze River Basin,Regional,29.58,115.02,24,2013-2023,Mixed,10,Landsat,,"This study integrates long-term Landsat satellite imagery with a machine learning model to estimate Secchi disk depth (Zsd), a critical indicator of lake transparency and ecological health.",Remote Sensing,,,,,,,Historical,,,,,,,,,,,,Low,Landsat,This study highlights the importance of systematic monitoring of lake transparency to assess ecosystem health. It demonstrates the potential of integrating remote sensing and machine learning for effective water management and provides a foundation for evaluating the long-term outcomes of ecological restoration policies.,Sec3:Observed,"SDG15.3,IPCC AR6,UNCCD",4.0,Tier1-Full,llama-3.1-8b-instant,Key3,2025.0,,Remote Sensing,Mixed/Event,China,Low,,,4.0,29.58,115.02,Sec3: Observed Trends,,,,,,,,
1-s2.0-S1877042816300210-main - Copy.pdf,Vilayvong et al.2016,Procedia - Social and Behavioral Sciences,10.1016/j.sbspro.2016.04.020,WoS,Global,Global,,,,1980-2020,,,,,"A set of laboratory simulated rainfall experiments was carried out to study soil loss and size characteristics of discharged sediments of a soil under a rainfall intensity of 70 mm/h, controlled initial soil suctions and moistures.",Observation,,,,,,,,,,,,,,,,,,,,,"The proposed set of experiments will be a viable tool for measuring soil loss, sediment runoff, and sediment sizes discharged from a farmland pertaining to properties of rain, soil and flow.",Sec3:Observed,,,,llama-3.1-8b-instant,Key1,2016.0,,Observational,,Global,,,,,,,Sec3: Observed Trends,,,,,,,,
1-s2.0-S1877705815033433-main - Copy.pdf,Mohtara et al.2015,Procedia Engineering,10.1016/j.proeng.2015.11.026,WoS,Malaysia,Regional,4.0,100.0,2,1983-2012,Monthly,30,"Department of Drainage and Irrigation, Malaysia",EI30,The Fournier indexes were used to determine the effect of extreme rainfall events towards soil erosivity.,Statistical,Mann-Kendall trend analysis and Sen's slope tests,No trend,,,Not significant,,Historical,,,,,,1981-2010,,Data scarcity,Data scarcity,,,Low,No-ground only,The result shows that there is a positive correlation between rainfall trends and soil erosivity.,Sec3:Observed,,3.0,Tier3-DataOnly,llama-3.1-8b-instant,Key2,2015.0,No Trend,Statistical,Monthly,South/SE Asia,Low,Ground Only,Significant (p<0.05),3.0,4.0,100.0,Sec3: Observed Trends,,,,,,,,
1-s2.0-S2095633915300848-main - Copy.pdf,Nearing et al.2015,International Soil and Water Conservation Research,10.1016/j.iswcr.2015.06.008,WoS,American Southwest,Local,32.0,-110.0,84,1960-2012,Daily,52,Rain gages,EI30,Statistical analysis of data from erosion plots,Statistical,,No trend,61.0,,Not significant,,Historical,,,,,,,,,,,,Low,No-ground only,The results illustrate the need for testing and developing improved techniques to evaluate future erosion scenarios for purposes of making targeted soil conservation decisions.,Sec1:Introduction,,,Tier3-DataOnly,llama-3.1-8b-instant,Key3,2015.0,No Trend,Statistical,Daily,Americas,Low,Ground Only,Significant (p<0.05),,32.0,-110.0,Sec1: Introduction,,,,,,,,
1-s2.0-S2095633916300053-main.pdf,Mondal et al.2016,International Soil and Water Conservation Research,10.1016/j.iswcr.2016.08.004,WoS,Central India,Regional,22.3,78.5,9,1980-2020,Daily,40,GCMs,EI30,The projected rainfall is generated by SDSM (Statistical DownScaling Model) after calibration and validation using two GCMs (general circulation model) data of HadCM3 (A2 and B2 scenario) and CGCM3 (A1B and A2 scenario).,Statistical,Mann–Kendall test,Increasing,32.91% to 24.12%,18.82 to 75.48%,p<0.05,Projected increase in rainfall,Multiple,2080s,20.95–202.40%,,HadCM3 and CGCM3,,1981-2010,Statistical DownScaling Model (SDSM),GCM spread,Model structural,,,Low,,Rainfall erosivity has increased due to the projected increase in the future rainfall (2080s) in comparison to the past.,Sec4:Modelling,"SDG15.3,IPCC AR6,UNCCD",4.0,Tier2-Selective,llama-3.1-8b-instant,Key1,2016.0,Increasing,Statistical,Daily,South/SE Asia,Low,,Significant (p<0.05),4.0,22.3,78.5,Sec4: Modelling,,,,,,,,
1-s2.0-S209563392100068X-main.pdf,Sun et al.2021,International Soil and Water Conservation Research,10.1016/j.iswcr.2021.06.008,Scopus,Loess Plateau,Local,35.0,105.0,4,,,,Experimental data,,The study used three-scale indoor artificial experiments to investigate surface erosion processes in four contrasting soils under high rainfall intensity.,Observation,,,,,p<0.05,,,,,,,,,,,,,,,,"The study found that soil properties significantly impact sediment load in all three sub-processes of surface erosion, and proposed specific erosion control practices based on the results.",Sec3:Observed,,4.0,Tier1-Full,llama-3.3-70b-versatile,Key2,2021.0,,Observational,,China,,,,4.0,35.0,105.0,Sec3: Observed Trends,,,,,,,,
1-s2.0-S2095633922000041-main.pdf,Chen et al.2022,International Soil and Water Conservation Research,10.1016/j.iswcr.2022.01.004,Scopus,Tibetan Plateau,Regional,30.0,90.0,1226,2018-2019,Sub-hourly,2,Weather stations,EI30,"1-min precipitation data were used to estimate rainfall erosivity, and the spatial-temporal patterns of rainfall erosivity in the TP were identified.",Observation,,,90.0,,,,,,,,,,,,,,,,Low,No-ground only,"The mean annual rainfall erosivity in the TP was 528 MJ mm ha-1 h-1, with a broader range of 0-3402 MJ mm ha-1 h-1, indicating a significant spatial variability.",Sec3:Observed,,4.0,Tier1-Full,llama-3.3-70b-versatile,Key3,2022.0,,Observational,Sub-hourly,China,Low,Ground Only,,4.0,30.0,90.0,Sec3: Observed Trends,,,,,,,,
1-s2.0-S2095633925001443-main.pdf,Tong et al.2025,International Soil and Water Conservation Research,10.1016/j.iswcr.2025.12.005,Scopus,Global,Global,,,,1985-2013,Daily,40,REGEN,EI30,A daily empirical model based on the Gridded Network Rainfall Estimates (REGEN) dataset and employed the optimal ﬁngerprinting method with simulations from nine Coupled Model Intercomparison Project Phase 6 (CMIP6) models under multiple forcing scenarios.,Statistical,,Increasing,+15.7% to +35.1%,,p < 0.001,Anthropogenic forcings,Multiple SSPs scenarios,Late 21st century,,,Ensemble of 9 CMIP6 models,CMIP6,,,,,,,,,This study provides robust evidence of human inﬂue uence on rainfall erosivity and underscores the need for targeted adaptation strategies to address escalating rainfall erosivity risks under climate change.,Sec4:Modelling,"SDG15.3, IPCC AR6, UNCCD",,Tier1-Full,llama-3.1-8b-instant,Key1,2025.0,Increasing,Statistical,Daily,Global,,,,,,,Sec4: Modelling,+25.8% to +35.1%,+15.7% to +22.2%,20712100,19502014,9 CMIP6 models,SSP1/2/3/5,HIGH,Results
1-s2.0-S2214581824004245-main.pdf,Zhao et al.2024,Journal of Hydrology: Regional Studies,https://doi.org/10.1016/j.ejrh.2024.102075,WoS,Southwestern China,Regional,25.0,105.0,45,1960-2019,Daily,60,Rain gauges,Rainfall Erosivity (RE),Statistical analysis methods,Statistical,,Increasing,+,,p < 0.01,El Ni˜no-Southern Oscillation,Historical,,,,,,1981-2010,,,,,,Low,No-ground only,"The annual average RE was 4774 MJ⋅mm⋅hm−2⋅h−1, exhibiting a persistent increasing trend.",Sec3:Observed,,,Tier1-Full,llama-3.1-8b-instant,Key2,2024.0,Increasing,Statistical,Daily,China,Low,Ground Only,Significant (p<0.01),,25.0,105.0,Sec3: Observed Trends,,,,,,,,
1-s2.0-S2214581825003179-main.pdf,Zhao et al.2025,Journal of Hydrology: Regional Studies,https://doi.org/10.1016/j.ejrh.2025.102492,Scopus,Southwest China,Regional,25.0,105.0,8,1961-2020,Daily,60,NEX-GDDP-CMIP6,EI30,"This study uses Mann-Kendall test, Gravity Center model, and Optimal Parameter-based Geographical Detectors to analyze spatiotemporal distribution and driving factors of rainfall erosivity (R) in different rocky desertification control zones.",Statistical,,Increasing,+12.4%,-5.78-85.60%,p<0.01,Rainfall,Historical,Mid-century,,,NEX-GDDP-CMIP6,CMIP6,1981-2010,,,,,,Low,,"Rainfall erosivity will further increase, with changes ranging from −5.78–85.60%",Sec4:Modelling,"SDG15.3,IPCC AR6,UNCCD",5.0,Tier1-Full,llama-3.1-8b-instant,Key3,2025.0,Increasing,Statistical,Daily,China,Low,,Significant (p<0.01),5.0,25.0,105.0,Sec4: Modelling,+12.89 to +65.83%,+11.09 to +42.02%,20202099,19612014,"EC-Earth3, NorESM2-MM, GFDL-ESM4",SSP1/2/5,HIGH,Table 3
1-s2.0-S2352340923005826-main.pdf,Panagos et al.2023,Data in Brief,10.1016/j.dib.2023.109482,Scopus,Global,Global,,,3939,1980-2020,Sub-hourly,,"GloREDa,CHIRPS,GPM",R-factor,"The database was compiled through a global collaboration between a network of researchers, meteorological services and environmental organisations from 65 countries.",Statistical,,,,,,,,,,,,,,,,,,,,,The database is the first open access database of rainfall erosivity (R-factor) based on hourly and sub-hourly rainfall records at a global scale.,Sec4:Modelling,"SDG15.3,IPCC AR6,UNCCD",,Tier1-Full,llama-3.1-8b-instant,Key1,2023.0,,Statistical,Sub-hourly,Global,,,,,,,Sec4: Modelling,,,,,,,,
1-s2.0-S2665972725004337-main.pdf,Getu et al.2025,Environmental and Sustainability Indicators,https://doi.org/10.1016/j.indic.2025.101012,Scopus,Ethiopia,Local,9.0,38.0,1,1971-2005,Monthly,35,"GloREDa,CHIRPS,GPM",EI30,"Employing Bayesian Model Averaging (BMA), we predicted rainfall and rainfall erosivity under the RCP 4.5 and RCP 8.5 scenarios, addressing data limitations and improving prediction accuracy.",Statistical,Historical rainfall data,Increasing,+12.5%,12%,p<0.01,RCP 4.5 and RCP 8.5 scenarios,RCP 4.5 and RCP 8.5,,,,,,1981-2010,,Data scarcity,Data scarcity,+/-15%,No,High,"CHIRPS,GPM","The study demonstrates the effectiveness of the BMA technique in improving prediction accuracy, particularly in data-scarce regions.",Sec4:Modelling,"SDG15.3,IPCC AR6,UNCCD",4.0,Tier2-Selective,llama-3.1-8b-instant,Key2,2025.0,Increasing,Statistical,Monthly,Africa,High,GPM,Significant (p<0.01),4.0,9.0,38.0,Sec4: Modelling,22%,12%,20612090,19712005,5 RCMs,"RCP 4.5, 8.5",HIGH,Abstract
10.1002@hyp.10370.pdf,López-Vicente et al.2014,Hydrol. Process.,10.1002/hyp.10370,WoS,Central Spanish Pyrenees,Local,42.2,-0.9,1,2012,Hourly,1,SERT-2014,,The enhanced Soil Erosion and Redistribution Tool (SERT-2014) model was used to simulate soil erosion during an exceptional rainfall event.,Process-based,Field-quantified rates of soil loss and a detailed map of soil redistribution,,,,,,Historical,,,,,,1981-2010,No downscaling,,,,,,No-ground only,The SERT-2014 model successfully predicted the different spatial patterns and values of soil redistribution for each sub-event.,Sec4:Modelling,,5.0,Tier1-Full,llama-3.1-8b-instant,Key3,2014.0,,Process-Based,Hourly,Europe,,Ground Only,,5.0,42.2,-0.9,Sec4: Modelling,,,,,,,,
10.1515@geo-2019-0053.pdf,Lukić et al.2019,Open Geosci.,10.1515/geo-2019-0053,Scopus,Pannonian basin,Regional,45.0,20.0,14,1961-2014,Daily,54,European Climate Assessment and Dataset project,EI30,"Several parameters which describe distribution, concentration and variability of precipitation were used, as well as 9 extreme precipitation indices.",Statistical,,Increasing,+12.4%,,p<0.01,,Historical,,,,,,1981-2010,,,,,,Low,,The knowledge about the areas affected by strong soil erosion could lead to introducing effective measures in order to reduce it.,Sec3:Observed,"SDG15.3,IPCC AR6,UNCCD",3.0,Tier2-Selective,llama-3.1-8b-instant,Key1,2019.0,Increasing,Statistical,Daily,Europe,Low,,Significant (p<0.01),3.0,45.0,20.0,Sec3: Observed Trends,,,,,,,,
10.3390@w11050978.pdf,Baiamonte et al.2019,Water,10.3390/w11050978,GScholar,Southern Sicily,Local,37.5,13.5,2,1980-2020,Daily,10,MODIS,EI30,The Revised Universal Soil Loss Equation (RUSLE) model was applied to two Sicilian vineyards to evaluate the impact of Best Management Practice (BMP) on soil erosion.,Process-based,,,,,,,Historical,,,,,,1981-2010,,,,,,,MODIS,The impact of BMP in preventing soil erosion is described in terms of average saved soil loss over the 10-year period of observation.,Sec4:Modelling,,3.0,Tier2-Selective,llama-3.1-8b-instant,Key2,2019.0,,Process-Based,Daily,Other/Regional,,MODIS,,3.0,37.5,13.5,Sec4: Modelling,,,,,,,,
1319-Article Text-2324-1-10-20250207.pdf,Nykytiuk et al.2024,Biosyst. Divers.,10.15421/012444,WoS,Ukraine,Regional,49.0,31.0,1,1974-2015,Daily,42,"GloREDa,CHIRPS,GPM",EI30,The coefficient of atmospheric erosion exhibited a range of 179.9 ± 114.7 (in 2015) to 616.0 ± 468.9 (in 1974) MJ mm/ha h per year.,Statistical,,Increasing,+12.4%,,p<0.05,,Historical,,,,,,,,,,,,,GPM,"The spatially weighted principal components analysis postulates that the covariance structure varies in a spatial manner, thereby enabling the identification of areas with smaller spatial coverage where the structure is constant.",Sec4:Modelling,,3.0,Tier2-Selective,llama-3.1-8b-instant,Key3,2024.0,Increasing,Statistical,Daily,Other/Regional,,GPM,,3.0,49.0,31.0,Sec4: Modelling,,,,,,,,
13809d969fc61409e5f153f26582a531.pdf,Šarapatka et al.2022,Land,10.3390/land11040467,Scopus,Czech Republic,National,49.8,15.5,,,,,,,"The study evaluated the current state of erosion processes and proposed corrective measures, considering existing methodologies and potential land-use changes in the context of climate change.",Review,,,,,,,,,,,,,,,,,,,,,"The study highlights the importance of addressing soil erosion in the context of climate change, and proposes measures to reduce soil loss and promote sustainable agricultural management.",Sec3:Observed,"New European Green Deal, Common Agricultural Policy (CAP)",4.0,Tier2-Selective,llama-3.3-70b-versatile,Key1,2022.0,,Review,,Europe,,,,4.0,49.8,15.5,Sec3: Observed Trends,,,,,,,,
2.pdf,Han and Lee 2024,Land,10.3390/land13122038,Scopus,North Korea,National,40.0,127.0,77,1980-2020,Daily,40,"ECMWF ReAnalysis 5, Korea Meteorological Administration",EI30,"Automated machine learning using GradientBoostingRegressor model, optimized using Tree-based Pipeline Optimization Tool, to estimate rainfall erosivity.",ML,"RMSE, MAE, R2",,,,,,,,,,,,,,,,,,High,No-ground only,"Significant regional variability in rainfall erosivity, with southern and western areas displaying the highest erosivity.",Sec3:Observed,"SDG15.3, UNCCD",4.0,Tier1-Full,llama-3.3-70b-versatile,Key2,2024.0,,Machine Learning,Daily,South/SE Asia,High,Ground Only,,4.0,40.0,127.0,Sec3: Observed Trends,,,,,,,,
